capital,2005,2010,2015,2018
Algiers,"2,282","2,432","2,592","2,694"
Luanda,"3,872","5,300","7,023","7,774"
Porto-Novo,0,0,0,285
Gaborone,0,0,0,269
Ouagadougou,"1,328","1,742","2,200","2,531"
Bujumbura,412,556,751,899
Praia,0,0,0,168
Yaound�,"1,781","2,349","3,097","3,656"
Bangui,644,717,798,851
N'Djamena,827,991,"1,187","1,323"
Moroni,0,0,0,62
Brazzaville,"1,269","1,576","1,958","2,230"
Yamoussoukro,0,0,0,231
Kinshasa,"7,589","9,382","11,598","13,171"
Djibouti,442,485,531,562
Cairo,"15,174","16,899","18,820","20,076"
Malabo,0,0,0,297
Asmara,558,670,803,896
Mbabane,0,0,0,68
Addis Ababa,"2,634","3,126","3,871","4,400"
Libreville,563,649,747,813
Banjul,368,393,420,437
Accra,"1,854","2,060","2,290","2,439"
Conakry,"1,345","1,518","1,714","1,843"
Bissau,336,409,497,558
Nairobi,"2,677","3,237","3,914","4,386"
Maseru,0,0,0,202
Monrovia,"1,202","1,056","1,270","1,418"
Tripoli,"1,058","1,095","1,134","1,158"
Antananarivo,"1,561","2,021","2,618","3,058"
Lilongwe,590,731,905,"1,030"
Bamako,"1,486","1,886","2,219","2,447"
Nouakchott,684,851,"1,058","1,205"
Port Louis,0,0,0,149
Rabat,"1,635","1,714","1,796","1,847"
Maputo,"1,072","1,097","1,100","1,102"
Windhoek,268,314,368,404
Niamey,821,954,"1,109","1,214"
Abuja,"1,316","1,814","2,442","2,919"
Kigali,668,797,951,"1,058"
Sao Tome,0,0,0,80
Dakar,"2,135","2,427","2,758","2,978"
Victoria,0,0,0,28
Freetown,786,905,"1,043","1,136"
Mogadishu,"1,415","1,353","1,783","2,082"
Pretoria,"1,334","1,666","2,081","2,378"
Juba,202,255,321,369
Khartoum,"3,979","4,517","5,128","5,534"
Lom�,"1,315","1,466","1,635","1,746"
Tunis,"1,859","2,014","2,183","2,291"
Kampala,"1,576","2,016","2,577","2,986"
Dodoma,0,0,0,262
Lusaka,"1,357","1,723","2,187","2,524"
Harare,"1,450","1,475","1,500","1,515"
